generated_sequence,decoded_smiles,valid,novel,MW,LogP,HBA,HBD,PSA,RotB,QED,SA,num_rings
C[C@H]1OC(=O)C[C@H](CCCCC(=O)O)[C@H](C)[C@@H](O)C[C@@](C)(OCC(O)=Nc2ccc([N+](=O)[O-])cc2)C(O)=N1,C[C@H]1OC(=O)C[C@H](CCCCC(=O)O)[C@H](C)[C@@H](O)C[C@@](C)(OCC(O)=Nc2ccc([N+](=O)[O-])cc2)C(O)=N1,True,True,537.5660000000003,3.855800000000002,9.0,4.0,201.38,10.0,0.08473778141363109,5.251212016306015,2.0
CO[C@H](CC(=O)O)[C@@H](C)[C@H](O)[C@H](C)[C@@H]1OC(=O)/C=C(/C)C[C@H](OC(N)=O)[C@@H](O)CC[C@H](C)C[C@@H](C)C[C@H](C)O,CO[C@H](CC(=O)O)[C@@H](C)[C@H](O)[C@H](C)[C@@H]1OC(=O)/C=C(/C)C[C@H](OC(N)=O)[C@@H](O)CC[C@H](C)C[C@@H](C)C[C@H](C)O,False,False,,,,,,,,,
COc1cc(O)cc(CNC(=O)N[C@H]2CCCC[C@H](CC(=O)O)OC(=O)CCC[C@H](CCCCN)OC2=O)c(O,COc1cc(O)cc(CNC(=O)N[C@H]2CCCC[C@H](CC(=O)O)OC(=O)CCC[C@H](CCCCN)OC2=O)c(O,False,False,,,,,,,,,
CC[C@@H]1CCC(O)C[C@@H](C)[C@H](OC(O)=NCCCCN)[C@@H](C)C(O)=N[C@@H](CCCCCN)C(O)=NC1O,CC[C@@H]1CCC(O)C[C@@H](C)[C@H](OC(O)=NCCCCN)[C@@H](C)C(O)=N[C@@H](CCCCCN)C(O)=NC1O,True,True,529.7230000000005,2.9868000000000037,8.0,7.0,199.49999999999997,11.0,0.12019976040291867,5.621100622051891,1.0
CCCC[C@H]1OC(=O)c2ccc(cc2O)[C@H](NC(=O)[C@@H](N=C(O)OC(C)(C)C)C(=O)O[C@H]([C@@H](C)C)[C@@H](C)OC1=O,CCCC[C@H]1OC(=O)c2ccc(cc2O)[C@H](NC(=O)[C@@H](N=C(O)OC(C)(C)C)C(=O)O[C@H]([C@@H](C)C)[C@@H](C)OC1=O,False,False,,,,,,,,,
CC[C@@H](C)[C@@H](O)[C@H](CC(=O)O)[C@@H](C)[C@H]1CC[C@@](C)(O)C[C@@H](OC(=N)O)[C@@H](O)/C=C/C[C@H](C)[C@@H](O)[C@](O)(O)[C@@H]1C,CC[C@@H](C)[C@@H](O)[C@H](CC(=O)O)[C@@H](C)[C@H]1CC[C@@](C)(O)C[C@@H](OC(=N)O)[C@@H](O)/C=C/C[C@H](C)[C@@H](O)[C@](O)(O)[C@@H]1C,True,True,561.7130000000002,2.1706700000000003,9.0,9.0,211.98999999999995,8.0,0.09113809926361148,6.151622349829964,1.0
CCC(O)[C@@H]1CCC[C@H](C)[C@H](OC(=O)CCCC(=O)O)[C@@H](C)C(O)=N[C@@H](C)C(O)[C@](C)(O)[C@@H](C)C(O)=N1,CCC(O)[C@@H]1CCC[C@H](C)[C@H](OC(=O)CCCC(=O)O)[C@@H](C)C(O)=N[C@@H](C)C(O)[C@](C)(O)[C@@H](C)C(O)=N1,True,True,530.6590000000001,2.7982000000000014,8.0,6.0,189.46999999999997,7.0,0.2687450335789073,5.686016272477994,1.0
CCC[C@H](C)[C@@H]1CCCC[C@H](CC(=O)O)CC(=O)O[C@@H]([C@H](O)CCC)C[C@@H](C)[C@@H](O)[C@](O)(CC(=O)O)[C@@H]1O,CCC[C@H](C)[C@@H]1CCCC[C@H](CC(=O)O)CC(=O)O[C@@H]([C@H](O)CCC)C[C@@H](C)[C@@H](O)[C@](O)(CC(=O)O)[C@@H]1O,True,True,546.6980000000004,3.1204000000000023,8.0,6.0,181.82,10.0,0.22268076549386437,5.324528451362923,1.0
CO[C@H]1/C=C\C(=O)[C@@H](NC(=O)CCCCCCC(=O)O)C(O)=Nc2cc(Nc3cccc(N)c3N)cc2O)C(=O)O1,CO[C@H]1/C=C\C(=O)[C@@H](NC(=O)CCCCCCC(=O)O)C(O)=Nc2cc(Nc3cccc(N)c3N)cc2O)C(=O)O1,False,False,,,,,,,,,
COC(=O)[C@@H]1CCCC[C@H](N=C(O)[C@H](O)CCCCC(=O)O)C(C)=CC(C)[C@H](O)[C@@H](C)/C=C(\C)C(=O)O)C(=O)N1,COC(=O)[C@@H]1CCCC[C@H](N=C(O)[C@H](O)CCCCC(=O)O)C(C)=CC(C)[C@H](O)[C@@H](C)/C=C(\C)C(=O)O)C(=O)N1,False,False,,,,,,,,,
CO[C@H](CCC[C@H](C)[C@@H]1OC(=O)C[C@@](O)(N=C(O)O)[C@@H](N=C(O)O)C=CC[C@H](C)[C@H](O)[C@@H](C)C[C@H](C)C1(C)O,CO[C@H](CCC[C@H](C)[C@@H]1OC(=O)C[C@@](O)(N=C(O)O)[C@@H](N=C(O)O)C=CC[C@H](C)[C@H](O)[C@@H](C)C[C@H](C)C1(C)O,False,False,,,,,,,,,
CCC(C)C1OC(=O)C(C)(O)C(C)C(O)C(C)C(C)C(O)C=C(C)C(OC)C(OC(N)=O)C(O)C(C)C1(O)O,CCC(C)C1OC(=O)C(C)(O)C(C)C(O)C(C)C(C)C(O)C=C(C)C(OC)C(OC(N)=O)C(O)C(C)C1(O)O,True,True,563.6850000000003,0.44210000000000244,11.0,7.0,209.23,4.0,0.14172656443295334,6.03670428578314,1.0
COC(=O)[C@@H](CCCCN=C(O)NC(O)=NCC(=O)c1ccc2c(c1)-c1nc(C)co1)C(=O)O[C@H](C)[C@H](C)C,COC(=O)[C@@H](CCCCN=C(O)NC(O)=NCC(=O)c1ccc2c(c1)-c1nc(C)co1)C(=O)O[C@H](C)[C@H](C)C,False,False,,,,,,,,,
C[C@H]1CCCC[C@H](C)[C@H](OC(=O)/C=C\C(=O)O)c2c(O)cc(O)c(CCCC(=O)O)c2N=C1O,C[C@H]1CCCC[C@H](C)[C@H](OC(=O)/C=C\C(=O)O)c2c(O)cc(O)c(CCCC(=O)O)c2N=C1O,True,True,477.5100000000003,4.164400000000001,7.0,5.0,173.95000000000002,7.0,0.2850981494186553,4.654890806853333,2.0
CNC(=O)[C@@H]1CCCCN=C(O)c2coc(n2)-c2coc(n2)[C@H](CCCCC)N=C(O)CN=C(O)C[C@@H]1C,CNC(=O)[C@@H]1CCCCN=C(O)c2coc(n2)-c2coc(n2)[C@H](CCCCC)N=C(O)CN=C(O)C[C@@H]1C,True,True,530.6260000000004,4.7409000000000034,8.0,4.0,178.92999999999998,5.0,0.40006292115065634,6.277063460271192,3.0
CC[C@@H]1CCC[C@@H](C)C[C@H](OCC(O)=NCCC(O)=N[C@@H](C)C(=O)O)C(O)=N[C@@H](CC(O)=N[C@H](O)C(C)C)[C@@H]1C,CC[C@@H]1CCC[C@@H](C)C[C@H](OCC(O)=NCCC(O)=N[C@@H](C)C(=O)O)C(O)=N[C@@H](CC(O)=N[C@H](O)C(C)C)[C@@H]1C,True,True,570.7280000000001,4.666300000000002,7.0,6.0,197.11999999999998,13.0,0.13556641084125662,6.04762382047733,1.0
COC(=O)[C@@H](N=C(O)[C@H](C)[C@@H]1CSCc2cc(O)cc(O)c2CC(O)=N[C@H](CC(=O)O)C(O)=N1)C(C)C,COC(=O)[C@@H](N=C(O)[C@H](C)[C@@H]1CSCc2cc(O)cc(O)c2CC(O)=N[C@H](CC(=O)O)C(O)=N1)C(C)C,True,True,539.6070000000002,2.802200000000001,9.0,6.0,201.82999999999998,7.0,0.16984735701429016,5.510869671892425,2.0
CN=C(O)NCCC[C@H]1OC(=O)c2coc(n2)-c2coc(c2)[C@H](CCCCN)NC(=O)OC(CCCN)N=C1O,CN=C(O)NCCC[C@H]1OC(=O)c2coc(n2)-c2coc(c2)[C@H](CCCCN)NC(=O)OC(CCCN)N=C1O,True,True,563.6120000000003,2.305000000000002,11.0,6.0,233.04999999999998,11.0,0.09998656146563488,6.461356315768583,3.0
CO[C@@H](N=C(O)CCC(O)=NCC[C@@H]1NC(=O)CCCCC[C@H](N=C(O)/C=C/c2cc(N)cc(O)c2)C(=O)O1,CO[C@@H](N=C(O)CCC(O)=NCC[C@@H]1NC(=O)CCCCC[C@H](N=C(O)/C=C/c2cc(N)cc(O)c2)C(=O)O1,False,False,,,,,,,,,
C/C1=C/[C@@H](C)[C@@H](O)[C@H](C)CCCC[C@H](OC(=O)O)[C@H](CCC(=O)O)[C@@H](C)C(O)=CC[C@H](C(=O)O)[C@@H](C)[C@H](O)[C@@H]1C,C/C1=C/[C@@H](C)[C@@H](O)[C@H](C)CCCC[C@H](OC(=O)O)[C@H](CCC(=O)O)[C@@H](C)C(O)=CC[C@H](C(=O)O)[C@@H](C)[C@H](O)[C@@H]1C,True,True,570.7200000000003,5.486000000000005,7.0,6.0,181.82,5.0,0.18263681748678015,5.561905588648,1.0
C[C@@H]1CCC[C@H](C)[C@H](O)C[C@H](C)[C@@H](O)C[C@@H](CCCCC(=O)O)C(O)=N[C@H](CCC(=O)O)C(O)=N1)CCC(O)O,C[C@@H]1CCC[C@H](C)[C@H](O)C[C@H](C)[C@@H](O)C[C@@H](CCCCC(=O)O)C(O)=N[C@H](CCC(=O)O)C(O)=N1)CCC(O)O,False,False,,,,,,,,,
COC(=O)[C@@H](N=C(O)N[C@@H]1CSCC[C@@H](C(=O)O)OC(=O)C[C@@H](C)C(O)=N[C@H](C(O)CO)C[C@@H]1C,COC(=O)[C@@H](N=C(O)N[C@@H]1CSCC[C@@H](C(=O)O)OC(=O)C[C@@H](C)C(O)=N[C@H](C(O)CO)C[C@@H]1C,False,False,,,,,,,,,
CO[C@H]1/C=C\C(=O)Nc2cc(CC(=O)O)cc(NCCCCCN)c2C(=O)c(NCCCCN)c(N)c(O)c2N=C1,CO[C@H]1/C=C\C(=O)Nc2cc(CC(=O)O)cc(NCCCCCN)c2C(=O)c(NCCCCN)c(N)c(O)c2N=C1,False,False,,,,,,,,,
CO[C@H](C[C@H](O)C(O)=N[C@@H](C(=O)O)C(O)=N[C@@H](C)C(=O)O[C@H](C)C[C@@]1(C)C[C@@H](C)CCC[C@H](O)C[C@@H](O)[C@@H]1C,CO[C@H](C[C@H](O)C(O)=N[C@@H](C(=O)O)C(O)=N[C@@H](C)C(=O)O[C@H](C)C[C@@]1(C)C[C@@H](C)CCC[C@H](O)C[C@@H](O)[C@@H]1C,False,False,,,,,,,,,
C[C@@H](CC(C)C(O)=NCC(O)=NCCCCCCC[C@@H](OC(N)=N/c2ccc(N)cc2)[C@@H](C)OC1=O)c1nco1,C[C@@H](CC(C)C(O)=NCC(O)=NCCCCCCC[C@@H](OC(N)=N/c2ccc(N)cc2)[C@@H](C)OC1=O)c1nco1,False,False,,,,,,,,,
CC[C@H](C)[C@@H]1N=C(O)C(O)C[C@H](C)[C@H](O)[C@H](C)[C@@H](C)C(O)[C@](C)(O)C(CCCC[C@@H](CC(=O)O)O)OC(=O)O1,CC[C@H](C)[C@@H]1N=C(O)C(O)C[C@H](C)[C@H](O)[C@H](C)[C@@H](C)C(O)[C@](C)(O)C(CCCC[C@@H](CC(=O)O)O)OC(=O)O1,True,True,563.6850000000004,2.3786,10.0,7.0,206.56999999999996,9.0,0.16001586490649078,5.824364364076637,1.0
CO/N=C1\CCCC(C)C(O)=NCC(O)CC(CCC(=O)O)C(C)=Cc2cc(NC(=O)O)cc(O)c2C1,CO/N=C1\CCCC(C)C(O)=NCC(O)CC(CCC(=O)O)C(C)=Cc2cc(NC(=O)O)cc(O)c2C1,True,True,519.5950000000003,4.438800000000004,7.0,6.0,181.26999999999998,5.0,0.3086650113107867,5.109216134529335,2.0
CC(C)(C)OC(=O)[C@@H]1CC/C=C/C[C@H](OC(=O)CC(=O)O)[C@H](O)[C@@H](O)CCCC[C@@](C)(O)[C@@H](OC(N)=O)C1,CC(C)(C)OC(=O)[C@@H]1CC/C=C/C[C@H](OC(=O)CC(=O)O)[C@H](O)[C@@H](O)CCCC[C@@](C)(O)[C@@H](OC(N)=O)C1,True,True,545.6260000000002,1.9581000000000002,10.0,5.0,202.91,5.0,0.14614115861325147,5.007943711641612,1.0
COC(=O)[C@@H](CCCC(=O)O)NC(=O)[C@@H]1CSCc2cc(O)cc(O)c2C(=O)OCCC[C@H](C)C(=O)O1,COC(=O)[C@@H](CCCC(=O)O)NC(=O)[C@@H]1CSCc2cc(O)cc(O)c2C(=O)OCCC[C@H](C)C(=O)O1,True,True,541.5750000000004,1.7421999999999995,11.0,4.0,185.76,7.0,0.2897806830593459,4.504525807035046,2.0
COC(=O)[C@@H]1CCCC[C@H](N=C(O)/C=C/c2cc(N=N/OCC(O)=NCCC(=O)NO)cc2)C(C)=CN1,COC(=O)[C@@H]1CCCC[C@H](N=C(O)/C=C/c2cc(N=N/OCC(O)=NCCC(=O)NO)cc2)C(C)=CN1,False,False,,,,,,,,,
CC[C@H](CC(=O)[C@@H]1CC[C@@H](C)[C@H](O)CC(O)=C[C@@H](C)[C@@H](OC(N=[N+]=[N-])[C@@H](O)C(O)=NC1)[C@@H](C)C(=O)O,CC[C@H](CC(=O)[C@@H]1CC[C@@H](C)[C@H](O)CC(O)=C[C@@H](C)[C@@H](OC(N=[N+]=[N-])[C@@H](O)C(O)=NC1)[C@@H](C)C(=O)O,False,False,,,,,,,,,
COc1cc(O)cc(O)c2c1C[C@@H]1C[C@@H](C)C[C@H](OC(=O)/C=C\C[C@H](C(=O)O)[C@@H](CCCCN)O=C(O)NO,COc1cc(O)cc(O)c2c1C[C@@H]1C[C@@H](C)C[C@H](OC(=O)/C=C\C[C@H](C(=O)O)[C@@H](CCCCN)O=C(O)NO,False,False,,,,,,,,,
CCC[C@H](N)C(=O)O[C@@H]1C[C@H](O)C[C@H](O)C[C@@H](C)C[C@@H](C)[C@H](OC(N)=O)[C@@H](O)CCC(O)=N[C@H](C)C1,CCC[C@H](N)C(=O)O[C@@H]1C[C@H](O)C[C@H](O)C[C@@H](C)C[C@@H](C)[C@H](OC(N)=O)[C@@H](O)CCC(O)=N[C@H](C)C1,True,True,517.6640000000003,1.9337000000000009,9.0,6.0,197.92000000000002,5.0,0.2949181548586262,5.482561141921122,1.0
CC[C@H](C)[C@@H](N=C(O)[C@@H]1CSCc2cc([N+](=O)[O-])cc(CC(N)=O)c2)C(O)=N[C@H](C(O)C(C)C)C(O)=N1,CC[C@H](C)[C@@H](N=C(O)[C@@H]1CSCc2cc([N+](=O)[O-])cc(CC(N)=O)c2)C(O)=N[C@H](C(O)C(C)C)C(O)=N1,True,True,537.6390000000002,2.907700000000001,8.0,5.0,204.22999999999996,11.0,0.20901005708552678,5.425252096489835,2.0
COC(=O)Nc1ccc(O)c2c(c1)/C=C/C[C@@H](N=C(O)[C@@H](N=C(O)O)C(=O)O)CCCC[C@H](C)[C@@H](C)OC2=O,COC(=O)Nc1ccc(O)c2c(c1)/C=C/C[C@@H](N=C(O)[C@@H](N=C(O)O)C(=O)O)CCCC[C@H](C)[C@@H](C)OC2=O,False,False,,,,,,,,,
CO[C@H]1/C=C\C(=O)[C@@H](C)[C@@H](O)CCCC[C@H](C)[C@@H](OC(N)=O)[C@@H](O)/C=C/C=C(\C)[C@@H](OC(N)=O)[C@@H](O)[C@@H]1C,CO[C@H]1/C=C\C(=O)[C@@H](C)[C@@H](O)CCCC[C@H](C)[C@@H](OC(N)=O)[C@@H](O)/C=C/C=C(\C)[C@@H](OC(N)=O)[C@@H](O)[C@@H]1C,True,True,540.6540000000002,2.1220000000000008,9.0,5.0,191.63,3.0,0.3565261077831447,5.498751452124538,1.0
C/C(=C\c1coc(C)c1)[C@@H]1C[C@H](N=C(O)[C@@H](N=C(O)c2ccccc2[N+](=O)[O-])c2n[nH]c3c(C)cnc21)C(=O)O,C/C(=C\c1coc(C)c1)[C@@H]1C[C@H](N=C(O)[C@@H](N=C(O)c2ccccc2[N+](=O)[O-])c2n[nH]c3c(C)cnc21)C(=O)O,False,False,,,,,,,,,
CCC[C@@H]1N=C(O)[C@@H](N=C(O)[C@@H](N=C(O)CC(=O)O)C(C)(C)[C@@H](C)[C@@H](C)C=C[C@@]2(C)OC)C[C@@H](CC(=O)O)O1,CCC[C@@H]1N=C(O)[C@@H](N=C(O)[C@@H](N=C(O)CC(=O)O)C(C)(C)[C@@H](C)[C@@H](C)C=C[C@@]2(C)OC)C[C@@H](CC(=O)O)O1,False,False,,,,,,,,,
CC(C)CC[C@@H]1N=C(O)CN=C(O)[C@@H](N=C(O)c2ccc3c(N)noc3c2)[C@@H](C)CN=C(O)[C@H](CC(C)C)N=C1O,CC(C)CC[C@@H]1N=C(O)CN=C(O)[C@@H](N=C(O)c2ccc3c(N)noc3c2)[C@@H](C)CN=C(O)[C@H](CC(C)C)N=C1O,True,True,571.6790000000002,4.778400000000004,8.0,6.0,214.99999999999997,7.0,0.20023625193966257,5.72511382448829,3.0
CC[C@@H](O)[C@@H]1C[C@@](C)(O)[C@H](O)C[C@@H](C)[C@H](O)[C@@H](CCCCC)[C@@H](OC(N)=N)[C@@H](O)/C=C/C(O)=N/C=C/C(=O)O1,CC[C@@H](O)[C@@H]1C[C@@](C)(O)[C@H](O)C[C@@H](C)[C@H](O)[C@@H](CCCCC)[C@@H](OC(N)=N)[C@@H](O)/C=C/C(O)=N/C=C/C(=O)O1,True,True,557.6850000000004,1.4342700000000024,10.0,8.0,219.13999999999996,7.0,0.09735591945494698,6.024304775918805,1.0
