generated_sequence,decoded_smiles,valid,novel,MW,LogP,HBA,HBD,PSA,RotB,QED,SA,num_rings
[C][O][C][Branch1][C][O][=N][C@H1][Branch2][Ring2][Branch2][C][Branch1][C][C][C][Branch1][C][O][=N][C][C][C][Branch1][C][O][=N][C][C][C][C][C][C][C][C][C][C][C][C][C][C][Branch1][#Branch1][O][C][Branch1][C][N][=O][=N][O][C][Branch1][C][O][=N][O][C][Ring2][Ring1][=N][=O],COC(O)=N[C@H1](C(C)C(O)=NCC1C(O)=NCCCCCCCCCCCCCC(OC(N)=O)=N)OC(O)=NOC1=O,True,True,600.6700000000005,4.194370000000001,11,6,251.28999999999994,16,0.06368680047694229,5.54225412322103,1
[C][O][C][Branch1][C][O][=N][C][=C][C][=C][Branch1][C][O][C][C][=Branch1][Ring2][=C][Ring1][#Branch1][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C@H1][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O][C][Branch1][C][O][C][C][C][C][=Branch1][C][=O][O][Ring2][Ring1][#Branch2],COC(O)=NC=C1C=C(O)CC(=C1)CC2CCCCCC(=O)OC[C@H1](CC(=O)O)C(=O)OC(O)CCCC(=O)O2,True,True,567.5880000000004,3.1347000000000005,11,4,198.48,5,0.1640001705804987,5.297043807051123,2
[C][O][C][Branch1][C][O][=N][C@H1][Branch1][C][C][O][C][/C][=C][/C][=C][Branch1][C][O][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][N][C][=Branch1][C][=O][C@@H1][Branch1][C][O][C@H1][Branch1][=Branch1][C][C][C][C][C][N][=C][Branch1][C][O][C][Branch1][C][O][=N][Ring2][Ring1][=N],COC(O)=N[C@H1](C)OC1/C2=C/C=C(O)C(O)=C(O)C(O)=C2C(=O)[C@@H1](O)[C@H1](CCCCC)N=C(O)C(O)=N1,True,True,525.5110000000003,2.5625999999999998,11,8,234.45,7,0.13651705343762166,5.8540430984658505,2
[C][C][Branch1][C][C][C@H1][Branch1][C][O][C][C][=Branch1][C][=O][C@@H1][Branch1][C][O][=N][C][C][C][C][C][C@H1][Branch1][C][C][C][C@H1][Branch1][C][O][C][C][=C][Branch1][C][O][C][=C][Branch1][C][O][C][C][=Branch1][C][=O][O][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][=Branch2],CC(C)[C@H1](O)CC(=O)[C@@H1](O)NCCCCC[C@H1](C)C[C@H1](O)CC=C(O)C=C(O)CC(=O)OC=C(O)C(O)=C,True,True,543.6540000000002,3.4962999999999997,11,8,197.00999999999996,20,0.03676159204588682,5.101386589798387,0
[C][C][C][C][C][C][C][C][C][Branch1][C][O][=N][C][=C][Branch1][C][O][C][C][C][N][=C][Branch1][C][O][C][=C][Ring1][N][C][=Branch1][C][=O][O][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][Branch1][C][O][=N][C][C][C][=Branch1][C][=O][O][Ring2][Ring2][Ring1],CCCCC1CCCC(O)=NC=C(O)CCCN=C(O)C=CC(=O)OC(CCC(=O)O)C(O)=NCCC(=O)O1,True,True,553.6090000000004,4.0443000000000024,9,5,207.9,6,0.2980166292184647,5.160304225254512,1
[C][O][C][C][O][C][Branch1][C][O][=N][C][=C][C][=C][Branch1][C][O][C][=Branch1][Ring2][=C][Ring1][#Branch1][C][C][C][=Branch1][C][=O][O][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][O][C][Branch1][C][O][=N][C][C][C][C][C][C][C][=Branch1][C][=O][N][Ring2][Ring1][=N],COCCOC(O)=NC1=CC=C(O2)C(=C1)CCC(=O)OC(CC(=O)O)CC(=O)OC(O)=NCCCCCCC(=O)N2,True,True,581.5750000000003,2.435600000000001,11,4,211.86999999999998,6,0.16505475197394479,4.587937646690123,2
[O][=C][Branch1][C][O][C][C@H1][C][C][C][C][C@H1][Branch1][C][O][C][C][C][C][C@H1][Branch1][Ring1][C][#N][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][=Branch2][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][O][C@H1][Branch1][C][O][C][C][C][C][C][C][C][=Branch1][C][=O][N][Ring2][Ring2][Ring1],O=C(O)C[C@H1]CCC1C[C@H1](O)CCCC[C@H1](C#N)C=C(O)C(O)=CC(=O)OCC(=O)O[C@H1](O)CCCCCCC(=O)N1,True,True,595.6660000000002,3.0243700000000002,11,6,223.70999999999995,5,0.19923268808234174,5.422589472797171,1
[C][C][C][C][C][C][C][C][=Branch1][C][=O][C][C@H1][Branch1][C][O][=N][C@H1][Branch1][C][N][C][C][=C][Branch1][C][O][C][=C][Ring1][N][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][O][C][=C][Branch1][C][O][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][=Branch2][C][=Branch1][C][=O][O][Ring2][Ring2][Ring2],CCCCC1CCC(=O)C2[C@H1](O)N[C@H1](N)CC=C(O)C=C2C(=O)OCC(=O)OC3=C(O)C=C(O)C(O)=C3C(=O)O1,True,True,564.5440000000003,0.9115000000000009,14,7,235.16999999999996,3,0.11697155650500694,5.4378079277535365,3
[C][O][C][Branch1][C][O][=N][C@H1][Branch2][Ring1][#Branch2][C][Branch1][C][C][Branch1][C][O][=N][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][Branch1][C][O][=N][O][C][Branch1][C][O][=N][C][C][C][C][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O][=C][Ring2][Ring1][#Branch2],COC(O)=N[C@H1](C(C)(O)NCCCC1CCCCCC(=O)OCO)NOC(O)=NCCCCC(CC(=O)O)=C1,True,True,560.6450000000004,2.0310999999999995,11,7,211.75999999999996,10,0.05106227497506442,5.378174527224979,1
[C][C][C][C][C][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C][=C][Branch1][C][O][C][C][C][C@H1][Branch1][C][O][=C][Branch1][Ring1][C][#N][C][Branch1][C][O][=C][Ring1][N][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O][C@@H1][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][C][C][Ring2][Ring1][S],CCCCC[C@H1](O)[C@H1](O)C=C(O1)CCC[C@H1](O)C(C#N)C(O)=C1C(=O)OC(=O)O[C@@H1](CC(=O)O)CCC,True,True,527.5670000000003,2.966380000000001,11,5,203.83999999999997,12,0.14111220691495793,5.348016516070255,1
[C][C][C][C][C][C][C][C][C][C][C@H1][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][Branch2][O][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][O][C][C@H1][Branch1][C][O][C][=Branch1][C][=O][C@H1][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O][Ring2][Ring1][N],CCCCCCCCCC[C@H1](O1)C=CC(O)=C(OC(=O)OC)C(=O)OC[C@H1](O)C(=O)[C@H1](CCC(=O)O)C(=O)O1,True,True,558.5770000000005,3.4372000000000016,12,3,192.18999999999997,13,0.12891907921201284,5.007241565327063,1
[C][O][C][Branch1][C][O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][O][=C][Branch1][Ring1][O][C][C][=Branch1][C][=O][O][C][C][=C][Branch1][C][O][C][C][=Branch1][C][=O][O][C][Branch1][#Branch1][O][C][=Branch1][C][=O][O][C][C][=C][Branch1][C][O][C][Branch1][C][C][=C][Ring1][S],COC(O)CC=CC(O)=C(O)C(O)=C(OC)C(=O)OCC=C(O)C1C(=O)OC(OC(=O)O)CC=C(O)C(C)=C1,True,True,558.4890000000003,2.5982000000000003,14,7,238.96999999999997,11,0.06336623051464185,5.752357515390659,1
[C][C][C][C][C][C][C@H1][Branch1][C][C][O][C][C@H1][Branch1][C][O][=N][C][=C][Branch1][C][O][C][=C][Branch1][#Branch1][O][C][C][N][=C][Ring1][N][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O][C][C@@H1][Branch1][C][O][C][C][C][=Branch1][C][=O][O][C][Branch1][C][O][=N][Ring2][Ring2][Branch1],CCCC1CC[C@H1](C)OC[C@H1](O2)NC=C(O)C=C(OCCN=C2)C(=O)OC(=O)OC[C@@H1](O)CCC(=O)OC(O)=N1,True,True,571.5800000000004,1.9062000000000014,14,4,204.02999999999997,2,0.2764646930340271,6.717315701956565,2
[C][O][C][Branch1][C][O][=C][C][=C][Branch1][C][O][C][C][Branch1][C][O][=C][Ring1][=Branch2][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][C][Branch1][C][O][C][C][C][=Branch1][C][=O][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][O][=C][Branch1][C][O][C][C][C][C][C][=C][Ring2][Ring1][O],COC(O1)=CC=C(O)CC(O)=C1C(=O)OCC(=O)C(O)CCC(=O)C(O)=C(O)C(O)=C(O)CCCCC=C,True,True,540.5180000000003,3.3301000000000016,13,7,220.51,15,0.03959043926492772,4.649225010656862,1
[C][C][C][C@H1][Branch1][C][C][C@H1][Branch1][C][O][C][C][Branch1][C][O][=N][C][C][C][C][C@H1][Branch1][C][O][C][C][C][C][C@H1][Branch1][C][O][C][C][=Branch1][C][=O][O][=N][O][C][=Branch1][C][=O][C][C][Branch1][C][O][=N][O][C][C][C][C][=Branch1][C][=O][O][=C][Ring2][Ring1][S],CCC[C@H1](C)[C@H1](O)CC(O)=NC1CCC[C@H1](O)CCCC[C@H1](O)CC(=O)ONOC(=O)CC(O)=NOCCCC(=O)OC1,True,True,619.7090000000001,2.4625000000000012,13,6,226.02999999999992,6,0.14283414457722307,5.70424554928761,1
[C][O][C][Branch1][C][O][=N][C@H1][Branch2][Ring2][#Branch1][C][Branch1][C][O][=N][C][C][C][C][C][C][Branch1][C][O][=N][C][C][C][Branch1][C][O][=N][C][C][C][C][C][C][Branch1][C][O][=N][C][C][Branch1][Ring1][C][#N][=C][Branch1][C][O][C][Branch1][C][O][=N][Ring2][Ring1][#Branch2],COC(O)=N[C@H1](C(O)=NCCCCC1C(O)=NCCC(O)=NCCCCCC(O)=NCCC#N)C(O)C(O)=N1,True,True,553.6170000000004,2.4754800000000015,9,7,248.78999999999996,13,0.10028967235948742,5.695818116968567,1
[C][C][C@H1][Branch1][C][O][C@@H1][Branch1][C][C][C][=Branch1][C][=O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C][C][C][C][=C][Branch1][C][O][C][C][C][C][C@H1][Branch1][C][O][=C][Branch1][C][O][C][C][C][C][=Branch1][C][=O][O][C][Branch1][C][O][=N][C][C][C][=Branch1][C][=O][O][Ring2][Ring1][N],CC[C@H1](O)[C@@H1](C)C(=O)[C@@H1](O)[C@H1](O)C1CCC=C(O)CCCC[C@H1](O)C(O)CCCC(=O)OC(O)=NCCC(=O)O1,True,True,575.6520000000003,1.1316000000000013,12,7,223.63999999999996,6,0.22138872114569438,5.668937383860988,1
[C][C][C][Branch1][C][O][C][Branch1][C][C][Branch1][C][C][C][=C][C][C][Branch1][C][C][=C][C][Branch1][Ring2][C][C][=N][Ring1][Branch2][O][C][C][Branch1][C][O][C][C][C][=Branch1][C][=O][O][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][Branch1][C][O][C][C][=Branch1][C][=O][O][C][Ring2][Ring1][Branch2],CCC(O)C(C)(C1)C=CCC(C)=CC1(C2C=N)OCC(O)CCC(=O)OC(CC(=O)O)C(O)CC(=O)OC2,True,True,539.6220000000003,1.9164700000000001,10,5,183.67,5,0.19641763576732257,6.419004420811473,2
[O][=C][Branch1][C][O][C][C@H1][C][C][C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=N][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][O][C][=Branch1][Ring2][=C][Ring1][Branch2][O][C][C][C][C][C][=Branch1][C][=O][O][C][Branch1][C][O][=C][C][Branch1][C][O][=C][Ring1][Branch2],O=C(O)C[C@H1]CC1CC=CC(=C1)C=NC(C(=O)O)=CC(C(=O)O)=COC(=C)OCCCCC(=O)OC(O)=CC(O)=C,True,True,574.5590000000004,4.254790000000003,10,5,209.47999999999996,19,0.0365935441843751,5.097735439363694,1
[C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Branch1][C][O][C][C][C][C][Branch1][C][O][=C][Branch1][C][C][C][C][=C][Ring1][#C][C][=Branch1][C][=O][O][C][C][C][=C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][C][Branch1][C][O][C][C][Branch1][C][O][=C][Branch1][C][O][C][C][Ring2][Ring1][P][=O],CC=C(O1)C(O)=C(O)CCCC(O)=C(C)CC=C1C(=O)OCCC=C([N+1](=O)[O-1])C(O)CC(O)=C(O)CC=O,True,True,539.5340000000003,4.285800000000003,12,6,217.11999999999998,10,0.05719943390479352,5.277731248997034,1
[C][O][C][Branch1][C][O][=N][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C][C][C][C][C][C][C@@H1][Branch1][C][O][=N][C][C][C][Branch1][C][O][=N][C][C][C][C][Branch1][C][O][=N][C][C][C][Branch1][C][O][=N][Ring2][Ring1][=Branch1][O][C][Ring1][Branch2][=O],COC(O)=N[C@H1](O)[C@@H1](O)CCCC1CC[C@@H1](O)NCCC(O)=NCCCC(O)=NCCC(O)=N1,True,True,489.57000000000033,0.896700000000002,9,8,212.30999999999995,6,0.19618491373724375,5.811240175892738,1
[C][O][C][=C][C][Branch1][C][O][=C][C][Branch1][C][O][=C][Ring1][#Branch1][C][=Branch1][C][=O][O][C@H1][Branch1][C][O][C][/C][=C][/C][=Branch1][C][=O][N][Branch1][C][O][=N][C@H1][Branch1][=Branch1][C][C][C][C][N][=C][Branch1][C][O][C][C][C][C][C][N][=C][Ring2][Ring1][O],COC=C1C(O)=CC(O)=C1C(=O)O[C@H1](O)C/C=C/C(=O)N(O)N[C@H1](CCCCN)C(O)CCCCCN=C,True,True,540.6140000000003,1.4341000000000015,12,7,207.39999999999998,19,0.018216627631959213,5.145391960796546,1
[C][O][C][Branch1][C][O][=N][C][=C][C][C][=C][Branch1][C][O][C][=Branch1][Ring2][=C][Ring1][#Branch1][C][C][C][=Branch1][C][=O][O][C][C@H1][Branch1][C][O][C][C][C][C][=Branch1][C][=O][N][C][=C][Branch1][=Branch1][O][C][C][=Branch1][C][=O][O][C][C][C][C][=Branch1][C][=O][N][Ring2][Ring1][S],COC(O)=NC=C1CC2=C(O)C(=C1)CCC(=O)OC[C@H1](O)CCCC(=O)NC=C(OCC=O)OCCCC(=O)N2,True,True,565.5760000000004,1.4422,11,5,202.30999999999997,4,0.14281824006240457,5.879518547091986,2
[C][O][C][Branch1][C][O][=N][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][C][C][Branch1][C][O][=C][Ring1][N][C][=Branch1][C][=O][C][C][C][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][=Branch2][C][=Branch1][C][=O][O][C][Branch1][C][O][=C][C][Branch1][C][O][C][Branch1][C][O][=N][Ring1][=Branch2],COC(O)=NC=CC(O)=C(O)CCC(O)=CC(=O)CC1C=CC=C(O)C(O)=C1C(=O)OC(O)=CC(O)C(O)=N,True,True,552.4890000000003,2.84817,13,10,270.87999999999994,12,0.041682988243229184,5.446685720410103,1
[C][O][C][Branch1][C][O][=N][C][=C][Branch1][C][O][C][C][C][C][Branch1][C][O][=N][C][C][C][C][C@@H1][Branch1][Ring1][C][#N][C][C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Branch1][Ring1][O][C][C][=Branch1][C][=O][O][C][Branch1][C][O][=N][Ring2][Ring1][=Branch1],COC(O)=NC=C(O)CCCC(O)=NCC1CC[C@@H1](C#N)CCC=C(O)C(O)=C(OC)C(=O)OC(O)=N1,True,True,524.5270000000003,3.4704800000000002,11,6,227.00999999999993,8,0.1164834246273983,5.629483138981817,1
[C][O][C][Branch1][C][O][C][C][C][C][C][Branch1][C][O][C][C][C][Branch1][C][O][C][Branch1][C][C][=C][Branch1][C][O][C][Branch1][C][C][C][=C][Branch1][Ring2][C][Ring1][Branch1][=N][C][=C][Branch1][C][O][C][Branch1][C][O][=N][C][C][Branch1][Ring1][C][#N][C][Branch1][C][O][=N][Ring2][Ring1][O],COC(O)CCCCC(O)C1CC(O)C(C)=C(O)C2(C)C=C(C2)NC=C(O)C(O)=NCC(C#N)C(O)=N1,True,True,522.5990000000003,2.17338,10,8,211.38,7,0.18019896515437325,6.851291766289517,3
[C][C][O][C][C][C@H1][Branch1][C][O][C][O][C][C][Branch1][C][O][=N][C][C][C][C][C][C][C@@H1][Branch1][Ring1][C][O][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][N][C][=Branch1][C][=O][O][O][C][=Branch1][C][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Ring2][Ring1][P][=O],CCOCC[C@H1](O)COCC(O)=NCCC1CCC[C@@H1](CO)C(O)C(O)=C1C(=O)OOC(=O)CC=CC(O)=C(O)C=O,True,True,603.6180000000005,1.1929000000000014,14,7,242.09999999999994,17,0.014217359442783037,5.2553740457481855,1
[C][O][C][Branch1][C][O][=C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][Branch2][C][C][=Branch1][C][=O][O][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C][C][C][C][C][C@H1][Branch1][C][O][C][=Branch1][C][=O][O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][=Branch2],COC(O1)=CC=C(O)C(O)=C1CC(=O)O[C@H1](O)[C@@H1](O)CCCCC[C@H1](O)C(=O)OCC2=CC(O)=C(O)C(O)=C2,True,True,556.5170000000005,1.500099999999999,14,8,232.89999999999998,14,0.0702073312052548,4.619227261820859,2
[O][=C][Branch1][C][O][C][C@H1][C][C][C][C][C][C@@H1][Branch1][C][O][=N][C][C][C@@H1][Branch1][C][O][C][/C][=C][Branch1][C][O][C][Branch1][C][O][=C][Branch1][Ring1][O][C][C@H1][Branch1][Ring2][C][Ring1][Branch1][=N][Ring2][Ring1][#Branch2][O][C][C@@H1][Branch1][C][O][=N][C][C][=Branch1][C][=N][O][C][Ring2][Ring2][Ring1][=C][O],O=C(O)C1[C@H1]2CCCCC[C@@H1](O)NCC[C@@H1](O)C/C=C(O)C(O)=C(OC)[C@H1](C)N1OC[C@@H1](O)NCC(=N)OC2=CO,True,True,588.6550000000003,0.8638700000000048,14,10,237.51999999999995,2,0.2014699573539086,6.917419960854488,2
[C][C][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Ring1][Branch2][C][Branch1][C][O][C][C][Branch1][C][O][C][C][Branch1][C][O][C][Branch1][C][C][C][Branch1][C][O][C][C][=Branch1][C][=O][O][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][=C][Branch1][C][O][C][C][C][=Branch1][C][=O][O][C][Ring2][Ring1][=C],CC1C(O)C=CC(O)=C1C2(O)CC(O)CC(O)C(C)C(O)CC(=O)OC(CCC(=O)O)=C(O)CCC(=O)OC2,True,True,558.5770000000003,0.5001000000000002,12,8,231.50999999999996,4,0.21992933401249365,5.775531444298182,2
[C][C][C][C][C@H1][Branch1][C][O][=N][C][=C][Branch1][C][O][C][C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][=Branch2][C][=Branch1][C][=O][O][C@H1][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O][C][C][C][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O][Ring2][Ring1][N],CCCC[C@H1](O)NC=C(O1)CC2C(O)=C(O)C=C1C(=O)O[C@H1](CC(=O)O)C(=O)OCCCCC(=O)OC(=O)O2,True,True,557.5050000000005,1.7197999999999996,14,5,224.44999999999996,7,0.12995998322460403,6.118752231459392,3
[C][C][C][C][C][C][C][C][C][C][C@H1][Branch1][C][O][C@H1][Branch1][#Branch1][O][C][Branch1][C][N][=O][/C][=C][\C][=C][Branch1][C][N][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O][C@H1][Branch1][Ring1][C][O][N][C][=N][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][=C][Ring2][Ring2][Ring1][C],CCCCCCCC1CC[C@H1](O)[C@H1](OC(N)=O)/C=C\C=C(N)CC(=O)OC(=O)O[C@H1](CO)NC=NC(CCC(=O)O)=C1C,True,True,610.7050000000002,3.1255000000000015,12,6,233.09,11,0.11246338414323706,5.601874485413225,1
[C][C][Branch1][C][C][C@H1][C][C][C][C][C][C@H1][Branch1][C][O][C][C@@H1][Branch1][C][O][C@@H1][Branch1][C][O][C][C][C][C][C][C@@H1][Branch1][Branch2][Ring1][C][O][=N][O][C][=Branch1][C][=N][O][C][Branch1][C][O][=N][O][C][C][C][C][=Branch1][C][=O][O][S][Ring2][Ring2][Ring1][=N],CC1(C)[C@H1]CCCCC[C@H1](O)C[C@@H1](O)[C@@H1](O)CCCCC=[C@@H1]C=NOC(O)=NOCCCC(=O)OS1=N,True,True,546.7070000000003,3.989860000000003,10,5,174.25,0,0.30300725372561,5.731759304589824,1
